ligando,grupo,evidencia_funcional,atomos_pesados,modelo,semilla,modo,afinidad,contactos,atomos_del_ligando_en_contacto,fraccion_ligando_en_contacto,residuos,toca_trp334,dist_min_al_anillo_trp334,dist_min_a_un_atomo_del_anillo
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,42,9,-3.799,5,16,0.62,313 324 327 328 331,False,10.68,8.76
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,2026,1,-4.839,3,18,0.69,334 338 342,True,4.62,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,2026,2,-4.709,8,16,0.62,311 313 314 323 324 327 328 331,False,10.43,8.89
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,2026,3,-4.682,4,17,0.65,331 334 337 338,True,3.72,3.47
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,2026,4,-4.561,4,18,0.69,331 334 335 337,True,3.74,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,2026,5,-4.52,6,17,0.65,331 334 335 338 341 342,True,3.98,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,2026,6,-4.5,3,16,0.62,334 337 338,True,3.73,3.54
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,2026,7,-4.424,5,17,0.65,331 334 335 337 338,True,4.11,3.57
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,2026,8,-4.419,5,12,0.46,331 334 335 338 342,True,4.84,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,2026,9,-4.124,4,11,0.42,331 334 338 342,True,3.69,3.57
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,777,1,-4.512,3,18,0.69,334 338 342,True,4.64,3.56
