ligando,grupo,evidencia_funcional,atomos_pesados,residuo_flexible,modelo,semilla,modo,afinidad,contactos,atomos_del_ligando_en_contacto,fraccion_ligando_en_contacto,residuos,toca_trp334,dist_min_al_anillo_trp334,dist_min_a_un_atomo_del_anillo
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,777,3,-5.599,5,17,0.65,326 327 330 331 334,True,3.68,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,777,4,-5.367,5,16,0.62,326 327 330 331 334,True,3.69,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,777,5,-5.341,4,16,0.62,327 330 331 334,True,3.64,3.57
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,777,6,-5.321,5,16,0.62,326 327 330 331 334,True,3.7,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,777,7,-5.065,4,18,0.69,327 330 331 334,True,3.68,3.51
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,777,8,-4.945,4,12,0.46,327 330 331 334,True,3.62,3.58
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,6,777,9,-4.864,5,16,0.62,326 327 330 331 334,True,3.75,3.65
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,334,1,42,1,-4.86,8,15,0.65,331 334 335 337 338 341 342 346,True,5.29,3.67
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,334,1,42,2,-4.694,6,19,0.83,330 331 334 335 338 342,True,3.69,3.55
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,334,1,42,3,-4.645,6,16,0.7,331 334 335 338 342 346,True,4.68,3.57
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,334,1,42,4,-4.532,8,15,0.65,331 334 335 337 338 341 342 346,True,3.62,3.62
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,334,1,42,5,-4.507,7,13,0.57,307 326 327 330 331 333 334,True,5.17,3.29
