ligand,vina,vinardo
DEC_CHEMBL1569875,-5.0810,-4.2620
DEC_CHEMBL1570216,-5.4740,-4.1990
DEC_CHEMBL1570226,-5.2030,-2.8570
DEC_CHEMBL1570375,-4.9550,-4.4520
DEC_CHEMBL1570913,-5.7150,-5.0700
DEC_CHEMBL1570928,-5.4910,-4.0370
DEC_CHEMBL1571416,-4.8540,-3.8150
DEC_CHEMBL1574931,-5.2470,-4.6230
DEC_CHEMBL1574978,-5.2620,-4.7410
DEC_CHEMBL1575024,-6.2210,-5.1410
DEC_CHEMBL1579274,-4.5990,-3.7770
DEC_CHEMBL1579933,-4.8180,-3.5170
DEC_CHEMBL1579999,-5.5980,-3.9590
DEC_CHEMBL1587018,-6.2250,-5.7270
DEC_CHEMBL1591882,-6.1060,-5.1030
DEC_CHEMBL1592685,-5.0210,-4.2710
DEC_CHEMBL1595503,-4.9920,-3.4880
DEC_CHEMBL1597270,-5.0340,-4.1560
DEC_CHEMBL1597290,-5.3450,-4.2310
DEC_CHEMBL1601845,-6.0100,-5.1090
DEC_CHEMBL1602108,-5.4130,-4.0650
DEC_CHEMBL1602618,-4.6900,-2.7540
DEC_CHEMBL1602967,-6.1750,-4.9770
DEC_CHEMBL1605531,-5.5820,-3.7580
DEC_CHEMBL1608506,-5.6780,-4.5870
DEC_CHEMBL1643541,-5.1440,-5.0460
DEC_CHEMBL166209,-5.5270,-4.3110
DEC_CHEMBL1708737,-6.2780,-5.4240
DEC_CHEMBL1708757,-4.7280,-3.5210
DEC_CHEMBL1712280,-5.1370,-4.7810
DEC_CHEMBL1728134,-5.1070,-4.4910
DEC_CHEMBL1730073,-5.3190,-5.1040
DEC_CHEMBL1730221,-5.0100,-3.6650
DEC_CHEMBL1730329,-5.2100,-4.3900
DEC_CHEMBL1731606,-6.2760,-5.6330
DEC_CHEMBL1731670,-5.3150,-3.7110
DEC_CHEMBL1732240,-6.2040,-5.9270
DEC_CHEMBL1732294,-6.0040,-5.2340
DEC_CHEMBL1875761,-5.3310,-5.0740
DEC_CHEMBL1879543,-4.0970,-2.7070
DEC_CHEMBL1879685,-4.4270,-2.7370
DEC_CHEMBL1879692,-5.2900,-3.8470
DEC_CHEMBL1879748,-4.9020,-4.3730
DEC_CHEMBL1896176,-5.9760,-4.3750
DEC_CHEMBL1896241,-5.9930,-5.0580
DEC_CHEMBL1896432,-5.6330,-4.5030
DEC_CHEMBL1896436,-6.2840,-5.0170
DEC_CHEMBL1900310,-5.9350,-4.8170
DEC_CHEMBL1900371,-4.3360,-3.4630
DEC_CHEMBL1900501,-5.3900,-4.8880
DEC_CHEMBL1900567,-5.3380,-4.8050
DEC_CHEMBL1939222,-5.2470,-4.6600
DEC_CHEMBL1969867,-5.0140,-5.0660
DEC_CHEMBL1970198,-5.2100,-4.0770
DEC_CHEMBL1978331,-4.6260,-3.8510
DEC_CHEMBL2086626,-5.3050,-4.5180
DEC_CHEMBL2136341,-5.1590,-3.1500
DEC_CHEMBL2142154,-5.5430,-4.3820
DEC_CHEMBL2143380,-5.7190,-4.8080
DEC_CHEMBL2165602,-4.9160,-4.0620
DEC_CHEMBL2165608,-5.6110,-4.5060
DEC_CHEMBL2165612,-5.2680,-4.4800
DEC_CHEMBL2179266,-5.4920,-4.4530
DEC_CHEMBL2179268,-5.7250,-4.9530
DEC_CHEMBL2356527,-4.9530,-3.3670
DEC_CHEMBL2359671,-4.6890,-3.1430
DEC_CHEMBL2359981,-5.3780,-3.9200
DEC_CHEMBL2360645,-5.8520,-4.8330
DEC_CHEMBL267400,-6.2320,-5.7250
DEC_CHEMBL272808,-5.8840,-5.1080
DEC_CHEMBL3189534,-5.3430,-4.5670
