ligando,reparado,atomos_smiles,atomos_preparado,motivo
CHEMBL1867521,1,29,29,ya estaba
CHEMBL1867546,1,25,25,ya estaba
CHEMBL1867548,1,38,38,ya estaba
CHEMBL1867765,1,33,33,ya estaba
CHEMBL2356527,1,24,24,ya estaba
CHEMBL2356604,1,27,27,ya estaba
CHEMBL2369101,1,63,63,ya estaba
CHEMBL3085458,1,75,75,ya estaba
CHEMBL3350710,1,51,51,ya estaba
CHEMBL3350721,1,39,39,ya estaba
CHEMBL3350724,1,96,96,ya estaba
CHEMBL3350725,1,83,83,ya estaba
CHEMBL3350726,1,93,93,ya estaba
CHEMBL3350879,1,33,33,ya estaba
CHEMBL3350880,1,90,90,ya estaba
CHEMBL3350881,1,77,77,ya estaba
CHEMBL3350882,1,85,85,ya estaba
CHEMBL3350883,1,83,83,ya estaba
CHEMBL3350884,1,82,82,ya estaba
CHEMBL3350885,1,77,77,ya estaba
CHEMBL3350886,1,77,77,ya estaba
CHEMBL3350887,1,93,93,ya estaba
CHEMBL3350888,1,70,70,ya estaba
CHEMBL3350889,1,93,93,ya estaba
CHEMBL3350893,1,89,89,ya estaba
CHEMBL3350894,1,89,89,ya estaba
CHEMBL3350895,1,88,88,ya estaba
CHEMBL3350896,1,70,70,ya estaba
CHEMBL3350897,1,77,77,ya estaba
CHEMBL3350898,1,77,77,ya estaba
CHEMBL3350899,1,77,77,ya estaba
CHEMBL3350900,1,80,80,ya estaba
CHEMBL3350901,1,79,79,ya estaba
CHEMBL3350902,1,79,79,ya estaba
CHEMBL3350903,1,81,81,ya estaba
CHEMBL3350904,1,81,81,ya estaba
CHEMBL3350905,1,78,78,ya estaba
CHEMBL3350906,1,64,64,ya estaba
CHEMBL3350907,1,79,79,ya estaba
CHEMBL3350908,1,89,89,ya estaba
CHEMBL3350909,1,82,82,ya estaba
CHEMBL3350910,1,80,80,ya estaba
CHEMBL3350911,1,77,77,ya estaba
CHEMBL3350912,1,77,77,ya estaba
CHEMBL3350913,1,64,64,ya estaba
CHEMBL3350981,1,34,34,ya estaba
CHEMBL3350982,1,40,40,ya estaba
CHEMBL3350983,1,36,36,ya estaba
CHEMBL3350984,1,35,35,ya estaba
CHEMBL3350985,1,35,35,ya estaba
CHEMBL3350986,1,36,36,ya estaba
CHEMBL3350987,1,41,41,ya estaba
CHEMBL3350988,1,36,36,ya estaba
CHEMBL3350989,1,35,35,ya estaba
CHEMBL3351044,1,81,81,ya estaba
CHEMBL413905,1,67,67,ya estaba
CHEMBL4297111,1,133,133,ya estaba
CHEMBL443598,1,51,51,ya estaba
CHEMBL447886,1,42,42,ya estaba
CHEMBL4527941,1,19,19,ya estaba
CHEMBL4528179,1,33,33,ya estaba
CHEMBL4528190,1,79,79,ya estaba
CHEMBL4528258,1,46,46,ya estaba
CHEMBL4529430,1,34,34,ya estaba
CHEMBL4529500,1,23,23,ya estaba
CHEMBL4529530,1,27,27,ya estaba
CHEMBL4529532,1,36,36,ya estaba
CHEMBL4529624,1,52,52,ya estaba
CHEMBL4529639,1,58,58,ya estaba
CHEMBL4529660,0,38,38,tipos no validos: {'B': 1}
CHEMBL4529676,1,20,20,ya estaba
CHEMBL4529681,1,22,22,ya estaba
CHEMBL4529696,1,20,20,ya estaba
CHEMBL4529717,1,24,24,ya estaba
CHEMBL4529730,1,19,19,ya estaba
CHEMBL4529751,1,43,43,ya estaba
CHEMBL4529771,1,68,68,ya estaba
CHEMBL4529797,1,13,13,ya estaba
CHEMBL4529823,1,27,27,ya estaba
CHEMBL4529829,1,34,34,ya estaba
CHEMBL4529841,1,58,58,ya estaba
CHEMBL4529863,1,40,40,ya estaba
CHEMBL4529868,1,28,28,ya estaba
CHEMBL4529877,1,17,17,ya estaba
CHEMBL4529883,1,23,23,ya estaba
CHEMBL4529895,1,38,38,ya estaba
CHEMBL4529904,1,34,34,ya estaba
CHEMBL4529917,1,21,21,ya estaba
CHEMBL4529928,1,37,37,ya estaba
CHEMBL4529931,1,56,56,ya estaba
CHEMBL4529943,1,26,26,ya estaba
CHEMBL4529946,1,43,43,ya estaba
CHEMBL4529955,1,36,36,ya estaba
CHEMBL4529978,1,25,25,ya estaba
CHEMBL4529991,1,25,25,ya estaba
CHEMBL4529994,1,75,75,ya estaba
CHEMBL4530010,1,35,35,ya estaba
CHEMBL4530037,1,34,34,ya estaba
CHEMBL4530090,1,19,19,ya estaba
CHEMBL4530105,1,39,39,ya estaba
CHEMBL4530177,1,37,37,ya estaba
CHEMBL4530187,1,18,18,ya estaba
CHEMBL4530206,1,37,37,ya estaba
CHEMBL4530214,1,124,124,ya estaba
CHEMBL4530218,1,38,38,ya estaba
CHEMBL4530228,1,14,14,ya estaba
CHEMBL4530256,1,24,24,ya estaba
CHEMBL4530305,1,35,35,ya estaba
CHEMBL4530326,1,55,55,ya estaba
CHEMBL4530332,1,29,29,ya estaba
CHEMBL4530336,1,28,28,ya estaba
CHEMBL4530398,1,25,25,ya estaba
CHEMBL4530431,1,20,20,ya estaba
CHEMBL4530467,1,18,18,ya estaba
CHEMBL4530473,1,29,29,ya estaba
CHEMBL4530479,1,21,21,ya estaba
CHEMBL4530507,1,30,30,ya estaba
CHEMBL4530512,1,31,31,ya estaba
CHEMBL4530525,1,42,42,ya estaba
CHEMBL4530557,1,16,16,ya estaba
CHEMBL4530593,1,104,104,ya estaba
CHEMBL4530594,1,24,24,ya estaba
CHEMBL4530618,1,33,33,ya estaba
CHEMBL4530621,1,19,19,ya estaba
CHEMBL4530654,1,26,26,ya estaba
CHEMBL4530663,1,20,20,ya estaba
CHEMBL4530669,1,37,37,ya estaba
CHEMBL4530731,1,25,25,ya estaba
CHEMBL4530744,1,34,34,ya estaba
CHEMBL4530768,1,20,20,ya estaba
CHEMBL4530771,1,40,40,ya estaba
CHEMBL4530811,1,38,38,ya estaba
CHEMBL4530860,1,34,34,ya estaba
CHEMBL4530892,1,25,25,ya estaba
CHEMBL4530904,1,26,26,ya estaba
CHEMBL4530928,1,29,29,ya estaba
CHEMBL4530946,1,63,63,ya estaba
CHEMBL4530970,1,20,20,ya estaba
CHEMBL4530973,1,56,56,ya estaba
CHEMBL4530992,1,30,30,ya estaba
CHEMBL4531006,1,20,20,ya estaba
CHEMBL4531013,1,31,31,ya estaba
CHEMBL4531036,1,25,25,ya estaba
CHEMBL4531053,1,74,74,ya estaba
CHEMBL4531077,1,20,20,ya estaba
CHEMBL4531105,1,19,19,ya estaba
CHEMBL4531123,1,68,68,ya estaba
CHEMBL4531173,1,72,72,ya estaba
CHEMBL4531187,1,56,56,ya estaba
CHEMBL4531255,1,19,19,ya estaba
CHEMBL4531282,1,32,32,ya estaba
CHEMBL4531291,1,68,68,ya estaba
CHEMBL4531307,1,26,26,ya estaba
CHEMBL4531347,1,35,35,ya estaba
CHEMBL4531378,1,17,17,ya estaba
CHEMBL4531409,1,59,59,ya estaba
CHEMBL4531414,1,39,39,ya estaba
CHEMBL4531417,1,23,23,ya estaba
CHEMBL4531430,1,24,24,ya estaba
CHEMBL4531434,1,21,21,ya estaba
CHEMBL4531447,1,34,34,ya estaba
CHEMBL4531461,1,26,26,ya estaba
CHEMBL4531511,1,25,25,ya estaba
CHEMBL4531514,1,65,65,ya estaba
CHEMBL4531524,1,19,19,ya estaba
CHEMBL4531548,1,19,19,ya estaba
CHEMBL4531552,1,25,25,ya estaba
CHEMBL4531580,1,28,28,ya estaba
CHEMBL4531581,1,41,41,ya estaba
CHEMBL4531584,1,26,26,ya estaba
CHEMBL4531598,1,55,55,ya estaba
CHEMBL4531600,1,20,20,ya estaba
CHEMBL4531638,1,47,47,ya estaba
CHEMBL4531645,1,70,70,ya estaba
CHEMBL4531651,1,33,33,ya estaba
CHEMBL4531652,1,29,29,ya estaba
CHEMBL4531662,1,36,36,ya estaba
CHEMBL4531669,1,19,19,ya estaba
CHEMBL4531690,1,23,23,ya estaba
CHEMBL4531702,1,24,24,ya estaba
CHEMBL4531752,1,105,105,ya estaba
CHEMBL4531813,1,59,59,ya estaba
CHEMBL4531818,1,43,43,ya estaba
CHEMBL4531834,1,27,27,ya estaba
CHEMBL4531850,1,19,19,ya estaba
CHEMBL4531855,1,61,61,ya estaba
CHEMBL4531867,1,25,25,ya estaba
CHEMBL4531885,1,16,16,ya estaba
CHEMBL4531886,1,20,20,ya estaba
CHEMBL4531915,1,37,37,ya estaba
CHEMBL4531925,1,25,25,ya estaba
CHEMBL4531949,1,34,34,ya estaba
CHEMBL4531988,1,55,55,ya estaba
CHEMBL4532007,1,26,26,ya estaba
CHEMBL4532058,1,126,126,
CHEMBL4532077,1,36,36,ya estaba
CHEMBL4532094,1,26,26,ya estaba
CHEMBL4532189,1,19,19,ya estaba
CHEMBL4532199,1,28,28,ya estaba
CHEMBL4532265,1,15,15,ya estaba
CHEMBL4532288,1,38,38,ya estaba
CHEMBL4532299,1,37,37,ya estaba
CHEMBL4532300,1,18,18,ya estaba
CHEMBL4532326,1,70,70,ya estaba
CHEMBL4532336,1,10,10,ya estaba
CHEMBL4532363,1,66,66,ya estaba
CHEMBL4532381,1,32,32,ya estaba
CHEMBL4532389,1,38,38,ya estaba
CHEMBL4532403,1,20,20,ya estaba
CHEMBL4532434,1,30,30,ya estaba
CHEMBL4532473,1,31,31,ya estaba
CHEMBL4532481,1,34,34,ya estaba
CHEMBL4532493,1,63,63,ya estaba
CHEMBL4532497,1,31,31,ya estaba
CHEMBL4532549,1,22,22,ya estaba
CHEMBL4532587,1,48,48,ya estaba
CHEMBL4532637,1,34,34,ya estaba
CHEMBL4532640,1,29,29,ya estaba
CHEMBL4532743,1,37,37,ya estaba
CHEMBL4532749,1,28,28,ya estaba
CHEMBL4532759,1,19,19,ya estaba
CHEMBL4532810,1,59,59,ya estaba
CHEMBL4532878,1,31,31,ya estaba
CHEMBL4532910,1,24,24,ya estaba
CHEMBL4532915,1,35,35,ya estaba
CHEMBL4532939,1,20,20,ya estaba
CHEMBL4533158,1,25,25,ya estaba
CHEMBL4533159,1,69,69,ya estaba
CHEMBL4533216,1,59,59,ya estaba
CHEMBL4533223,1,20,20,ya estaba
CHEMBL4533229,1,34,34,ya estaba
CHEMBL4533243,1,32,32,ya estaba
CHEMBL4533247,1,134,134,ya estaba
CHEMBL4533249,1,61,61,ya estaba
CHEMBL4533294,1,20,20,ya estaba
CHEMBL4533303,1,28,28,ya estaba
CHEMBL4533305,1,25,25,ya estaba
CHEMBL4533320,1,25,25,ya estaba
