target,ligand,afinidad
FUS,CHEMBL16958,-7.0
FUS,CHEMBL16969,-6.5
FUS,CHEMBL17058,-6.5
FUS,CHEMBL17116,-6.6
FUS,CHEMBL17131,-6.5
FUS,CHEMBL17211,-7.3
FUS,CHEMBL17214,-6.6
FUS,CHEMBL17245,-6.5
FUS,CHEMBL17248,-6.5
FUS,CHEMBL17319,-6.4
FUS,CHEMBL17339,-6.6
FUS,CHEMBL17346,-6.6
FUS,CHEMBL17391,-6.4
FUS,CHEMBL17417,-6.4
FUS,CHEMBL17422,-6.4
FUS,CHEMBL17427,-6.5
FUS,CHEMBL17456,-6.5
FUS,CHEMBL17482,-6.4
FUS,CHEMBL17496,-6.6
FUS,CHEMBL1751,-7.0
FUS,CHEMBL17519,-6.4
FUS,CHEMBL17558,-6.4
FUS,CHEMBL17589,-6.9
FUS,CHEMBL17611,-6.4
FUS,CHEMBL17626,-6.4
FUS,CHEMBL1765742,-6.8
FUS,CHEMBL17715,-6.6
FUS,CHEMBL17731,-7.0
FUS,CHEMBL1773130,-6.6
FUS,CHEMBL17749,-6.5
FUS,CHEMBL17760,-7.1
FUS,CHEMBL17852,-6.4
FUS,CHEMBL17911,-6.4
FUS,CHEMBL17928,-6.6
FUS,CHEMBL17934,-6.6
FUS,CHEMBL1795492,-6.5
FUS,CHEMBL1795541,-6.7
FUS,CHEMBL1795645,-6.4
FUS,CHEMBL1795724,-6.9
FUS,CHEMBL1795725,-6.6
FUS,CHEMBL1795784,-6.4
FUS,CHEMBL1795850,-6.5
FUS,CHEMBL1795854,-6.9
FUS,CHEMBL1795863,-6.5
FUS,CHEMBL1795864,-6.5
FUS,CHEMBL1795870,-6.6
FUS,CHEMBL1795876,-7.2
FUS,CHEMBL1795877,-6.9
FUS,CHEMBL1795878,-6.9
FUS,CHEMBL1795879,-7.1
FUS,CHEMBL1795881,-7.0
FUS,CHEMBL1795882,-7.2
FUS,CHEMBL1795884,-7.1
FUS,CHEMBL1795885,-6.9
FUS,CHEMBL1795886,-7.0
FUS,CHEMBL1795897,-6.5
FUS,CHEMBL1795898,-6.6
FUS,CHEMBL1795899,-7.4
FUS,CHEMBL1795920,-6.4
FUS,CHEMBL1795935,-6.5
FUS,CHEMBL1796154,-6.4
FUS,CHEMBL1796164,-6.4
FUS,CHEMBL1796172,-6.5
FUS,CHEMBL1796359,-7.0
FUS,CHEMBL1796362,-6.4
FUS,CHEMBL1796568,-6.5
FUS,CHEMBL1796638,-6.6
FUS,CHEMBL1796640,-6.5
FUS,CHEMBL1796739,-6.4
FUS,CHEMBL1796872,-6.7
FUS,CHEMBL1796970,-6.8
FUS,CHEMBL1797010,-6.4
