ligand,rol,vina,recall,jaccard,coseno,n_contactos
DEC_Teriflunomide,decoy,-5.805,0.6786,0.1926,0.4292,70
DECH_CHEMBL1601733,decoy,-5.95,0.6429,0.1709,0.4392,60
DECM_CHEMBL473417,decoy,-5.952,0.6429,0.2045,0.3827,79
DEC_CHEMBL1321608,decoy,-5.992,0.6429,0.1852,0.4219,65
DEC_CHEMBL1398411,decoy,-6.376,0.6429,0.1977,0.3981,73
DEC_CHEMBL1413381,decoy,-5.042,0.6429,0.1795,0.4286,63
DEC_CHEMBL1896176,decoy,-5.91,0.6429,0.151,0.4673,53
DEC_CHEMBL1969867,decoy,-4.966,0.6429,0.2085,0.3852,78
ACT_paliperidona_K4I,activo,-6.727,0.6207,0.2165,0.3785,78
DECH_CHEMBL1578770,decoy,-5.699,0.6071,0.151,0.4413,53
DECM_CHEMBL1377,decoy,-5.068,0.6071,0.1785,0.3985,65
DEC_CHEMBL2142154,decoy,-5.575,0.6071,0.1831,0.3868,69
DEC_CHEMBL3208261,decoy,-5.805,0.6071,0.153,0.4293,56
DECH_CHEMBL25014,decoy,-6.372,0.5714,0.1538,0.4115,54
DEC_CHEMBL1315185,decoy,-6.137,0.5714,0.1798,0.364,69
