name,chembl_id,smiles
CHEMBL1310576,CHEMBL1310576,Cc1ccc(S(=O)(=O)c2c(N)n(NC(=O)c3ccco3)c3nc4ccccc4nc23)cc1
CHEMBL1310614,CHEMBL1310614,NC(=O)c1c(NC(=O)c2cccs2)sc2c1CCCCCC2
CHEMBL1310616,CHEMBL1310616,CC(C)OCCCNC(=O)NC(=O)c1ccc(Cl)cc1
CHEMBL1310629,CHEMBL1310629,COc1ccc(/C=C2\COc3ccccc3C2=O)cc1OC
CHEMBL1310648,CHEMBL1310648,COc1ccc(CN2C(=O)c3cccnc3C2=O)cc1S(=O)(=O)NC1CCCCC1C
CHEMBL1310671,CHEMBL1310671,COc1ccc(-c2noc(=O)n2Cc2ccccc2Cl)cc1
CHEMBL1311489,CHEMBL1311489,O=C(/C=C/c1ccc(F)cc1)c1ccccc1Br
CHEMBL1311503,CHEMBL1311503,COC(=O)c1c(NC(=O)CCC(=O)O)sc(Cc2ccccc2)c1C
CHEMBL1311655,CHEMBL1311655,COc1ccc2c(CC(=O)OCC(=O)Nc3ccc4c(c3)OCO4)coc2c1
CHEMBL1311666,CHEMBL1311666,Cn1nnc(NC(=S)NC(=O)c2cc(Cl)ccc2Cl)n1
CHEMBL1311703,CHEMBL1311703,O=C(Nc1cccc2cccnc12)c1ccc2c(c1)OCCO2
CHEMBL1312509,CHEMBL1312509,COc1ccc(CN(C(=O)c2ccc(-c3ccccc3)[nH]2)C(C(=O)NCC2CCCO2)c2ccc(C)o2)cc1
CHEMBL1314254,CHEMBL1314254,COc1ccc(CCC(=O)NCc2ccc3c(c2)CCN3C(=O)c2cccc(C)c2)cc1
CHEMBL1314282,CHEMBL1314282,CCOc1ccc(NC(=O)Cn2c(=O)n(CC(=O)NCc3ccccc3Cl)c(=O)c3sccc32)cc1
CHEMBL1315185,CHEMBL1315185,COc1ccccc1/C=C/c1nc(C#N)c(NC(C)c2ccccc2)o1
CHEMBL1315195,CHEMBL1315195,Cc1csc2nc(O)c(C(=O)NCCCc3ccccc3)c(=O)n12
CHEMBL1316221,CHEMBL1316221,COC(=O)c1ccccc1NC(=O)C(Cc1ccccc1)N1Cc2ccccc2C1=O
CHEMBL1317201,CHEMBL1317201,COc1cc(OC)cc(-c2cc3nc(C)c(CCC(=O)NCc4ccc(Cl)cc4)c(C)n3n2)c1
CHEMBL1317217,CHEMBL1317217,CCN(C(=O)COC(=O)c1cccnc1SC)C1CCCCC1
CHEMBL1321538,CHEMBL1321538,Cc1nn(-c2ccccc2)c(Cl)c1CN(C(=O)CCl)c1ccc(Cl)cc1
CHEMBL1321608,CHEMBL1321608,O=C(CSc1n[nH]c(-c2ccncc2)n1)Nc1ccccc1
CHEMBL1322078,CHEMBL1322078,COc1cccc(-c2nnc3n2N=C(C(C)(C)C)CS3)c1
CHEMBL1322110,CHEMBL1322110,CC1=NOC(=O)/C1=C\c1ccc(-c2ccc(Br)cc2)o1
CHEMBL1322510,CHEMBL1322510,Cn1cccc1/C=C(\C#N)c1ccccc1
CHEMBL1322610,CHEMBL1322610,Cc1ccc(Cl)cc1-n1c(CCC(=O)O)ccc1-c1cccs1
CHEMBL1323007,CHEMBL1323007,Cc1ccc2c(c1)c(C)c(C)n2CC(O)Cn1nnc2ccccc21
CHEMBL1326817,CHEMBL1326817,COc1ccccc1C(C[N+](=O)[O-])c1c(N)n(C)c(=O)n(C)c1=O
CHEMBL1326839,CHEMBL1326839,Cc1cccc(N2CCN(C(=O)CSCc3ccc(F)cc3)CC2)c1C
CHEMBL1327168,CHEMBL1327168,Cc1nc(N2CCC(C)CC2)c2c(C)c(C(=O)O)sc2n1
CHEMBL1327190,CHEMBL1327190,CCOC(=O)c1c(C)[nH]c(C)c1C(=O)CSc1nc(N)cc(O)n1
CHEMBL1327521,CHEMBL1327521,Oc1ccc2ccccc2c1N=Nc1ccc(F)cc1
CHEMBL1327582,CHEMBL1327582,COc1ccc(-c2cc(C(=O)N3CCN(c4ncccn4)CC3)c3ccccc3n2)cc1
CHEMBL1328044,CHEMBL1328044,O=C(C1CCCO1)N1CCN(C(=S)Nc2cccc(Cl)c2)CC1
CHEMBL1330042,CHEMBL1330042,Cc1ccc(-c2cc(C(=O)O)c3cc(Br)ccc3n2)o1
CHEMBL1330118,CHEMBL1330118,Cc1cc(N2CCN(c3ccccc3)CC2)nc(-c2ccccc2O)n1
CHEMBL1332994,CHEMBL1332994,O=C(c1noc2c1CCCC2)N1CCc2ccccc2C1
