ligand,papel,afinidad,pesados,puesto_fondo1,puesto_fondo2,residual
DECM_CHEMBL1305,fondo,-5.068,20,309,,
DECM_CHEMBL1377,fondo,-5.068,17,310,,
DEC_CHEMBL1343679,fondo,-5.068,20,311,,
DECH_CHEMBL1457583,fondo2,-5.057,24,312,,
DECH_CHEMBL1728200,fondo2,-5.055,20,313,,
DEC_CHEMBL3193932,fondo,-5.044,24,314,,
DEC_CHEMBL1413381,fondo,-5.042,20,315,,
DECH_CHEMBL953,fondo2,-5.035,22,316,,
DECM_CHEMBL1728134,fondo,-5.033,18,317,,
DECM_CHEMBL1509423,fondo,-5.032,15,318,,
DEC_CHEMBL1440455,fondo,-5.031,18,319,,
DEC_Arimoclomol,fondo,-5.026,17,320,,
DEC_CHEMBL1728134,fondo,-5.026,18,321,,
DECH_CHEMBL659,fondo2,-5.02,21,322,,
DEC_CHEMBL1595503,fondo,-5.018,23,323,,
DEC_CHEMBL1372889,fondo,-5.013,20,324,,
DECH_CHEMBL1524140,fondo2,-5.012,20,325,,
DEC_CHEMBL1558218,fondo,-5.012,18,326,,
DECM_CHEMBL918,fondo,-5.006,13,327,,
DEC_CHEMBL1409776,fondo,-5.006,16,328,,
DEC_CHEMBL1879748,fondo,-5.006,15,329,,
DECH_CHEMBL94394,fondo2,-4.998,16,330,,
DECM_CHEMBL1237044,fondo,-4.997,19,331,,
DEC_CHEMBL1541085,fondo,-4.996,24,332,,
DEC_CHEMBL1390652,fondo,-4.989,15,333,,
DECH_CHEMBL1208,fondo2,-4.985,19,334,,
DEC_CHEMBL2165602,fondo,-4.985,17,335,,
DEC_CHEMBL1091583,fondo,-4.977,16,336,,
DEC_CHEMBL1527656,fondo,-4.976,16,337,,
DECH_CHEMBL2103827,fondo2,-4.971,15,338,,
DECH_CHEMBL1201766,fondo2,-4.969,19,339,,
DEC_CHEMBL1969867,fondo,-4.966,18,340,,
quinazolina_12I,positivo,-4.961,17,,,
DEC_CHEMBL1470785,fondo,-4.961,16,341,,
DECM_CHEMBL1574931,fondo,-4.954,20,342,,
DECH_CHEMBL117785,fondo2,-4.953,23,343,,
DEC_CHEMBL1468265,fondo,-4.953,15,344,,
DECH_CHEMBL1485521,fondo2,-4.951,23,345,,
DECH_CHEMBL319144,fondo2,-4.946,20,346,,
DEC_CHEMBL1446677,fondo,-4.944,19,347,,
DEC_CHEMBL1570375,fondo,-4.937,16,348,,
DECM_CHEMBL760,fondo,-4.928,16,349,,
DECM_CHEMBL770,fondo,-4.924,12,350,,
DECH_CHEMBL98,fondo2,-4.922,19,351,,
DECM_CHEMBL1969867,fondo,-4.916,18,352,,
DECH_CHEMBL22,fondo2,-4.907,21,353,,
DECH_CHEMBL1228,fondo2,-4.904,24,354,,
DECM_CHEMBL1879748,fondo,-4.904,15,355,,
DECM_CHEMBL1571416,fondo,-4.895,18,356,,
DEC_CHEMBL1373755,fondo,-4.894,15,357,,
DECM_CHEMBL188952,fondo,-4.874,17,358,,
DEC_CHEMBL1429958,fondo,-4.869,17,359,,
DECH_CHEMBL4298137,fondo2,-4.858,18,360,,
5-fluorouridina,positivo,-4.85,18,,,
DEC_CHEMBL1563897,fondo,-4.847,20,361,,
DEC_CHEMBL1256364,fondo,-4.846,15,362,,
DECM_CHEMBL7863,fondo,-4.839,15,363,,
DECM_CHEMBL1752,fondo,-4.835,18,364,,
